ID,DATOP,FLTID,DEPSTN,ARRSTN,STD,STA,STATUS,AC,target
train_id_0,1/3/2016,TU 0712 ,CMN,TUN,1/3/2016 10:30,2016-01-03 12.55.00,ATA,TU 32AIMN,Severe
train_id_1,1/13/2016,TU 0757 ,MXP,TUN,1/13/2016 15:05,2016-01-13 16.55.00,ATA,TU 31BIMO,Common
train_id_2,1/16/2016,TU 0214 ,TUN,IST,1/16/2016 4:10,2016-01-16 06.45.00,ATA,TU 32AIMN,ONTIME
train_id_3,1/17/2016,TU 0480 ,DJE,NTE,1/17/2016 14:10,2016-01-17 17.00.00,ATA,TU 736IOK,ONTIME
train_id_4,1/17/2016,TU 0338 ,TUN,ALG,1/17/2016 14:30,2016-01-17 15.50.00,ATA,TU 320IMU,Common
train_id_5,1/17/2016,TU 0283 ,TLS,TUN,1/17/2016 16:20,2016-01-17 18.15.00,ATA,TU 736IOP,Medium
train_id_6,1/18/2016,TU 0514 ,TUN,BCN,1/18/2016 7:15,2016-01-18 09.00.00,ATA,TU 32AIMH,Common
train_id_7,1/18/2016,TU 0716 ,TUN,ORY,1/18/2016 7:35,2016-01-18 09.55.00,ATA,TU 32AIMI,Common
train_id_8,1/18/2016,TU 0752 ,TUN,FCO,1/18/2016 7:40,2016-01-18 09.00.00,ATA,TU 32AIMC,Common
train_id_9,1/18/2016,TU 0996 ,TUN,NCE,1/18/2016 7:45,2016-01-18 09.15.00,ATA,TU 31AIMK,Common
train_id_10,1/18/2016,TU 0930 ,TUN,MRS,1/18/2016 7:55,2016-01-18 09.30.00,ATA,TU 32AIMF,Common
train_id_11,1/20/2016,TU 0724 ,TUN,ORY,1/20/2016 18:30,2016-01-20 20.50.00,ATA,TU 32AIMP,Common
train_id_12,1/20/2016,TU 0913 ,TUN,MED,1/20/2016 19:40,2016-01-21 00.00.00,ATA,TU 320IMR,ONTIME
train_id_13,1/21/2016,TU 0217 ,IST,TUN,1/21/2016 20:10,2016-01-21 23.00.00,ATA,TU 320IMU,ONTIME
train_id_14,1/22/2016,TU 0744 ,TUN,FRA,1/22/2016 7:05,2016-01-22 09.40.00,ATA,TU 736IOP,Common
train_id_15,1/22/2016,TU 0706 ,CMN,TUN,1/22/2016 17:45,2016-01-22 20.10.00,ATA,TU 320IMR,ONTIME
train_id_16,1/22/2016,TU 0723 ,ORY,TUN,1/22/2016 18:30,2016-01-22 21.00.00,ATA,TU 332IFN,Medium
train_id_17,1/23/2016,TU 0726 ,MIR,BRU,1/23/2016 5:30,2016-01-23 08.15.00,ATA,TU 31AIMJ,Severe
train_id_18,1/22/2016,TU 0913 ,TUN,MED,1/22/2016 19:40,2016-01-23 00.00.00,ATA,TU 320IMT,Common
train_id_19,1/23/2016,TU 9038 ,TUN,DJE,1/23/2016 8:50,2016-01-23 09.45.00,ATA,TU 736IOL,Common
train_id_20,1/23/2016,TU 0717 ,ORY,TUN,1/23/2016 10:55,2016-01-23 13.20.00,ATA,TU 32AIMI,Common
