ID,DATOP,FLTID,DEPSTN,ARRSTN,STD,STA,STATUS,AC,target,target category,Duration,,
train_id_2006,6/6/2016,TU,ORY,TUN,6/6/2016 15:45,6/6/2016 18:10,ATA,TU 320IMU,108,Severe,2:25:00,,8301
train_id_2008,6/6/2016,TU,ORY,TUN,6/6/2016 17:50,6/6/2016 20:15,ATA,TU 32AIMG,14,Common,2:25:00,,607
train_id_2017,6/7/2016,TU,DJE,MIR,6/7/2016 5:50,6/7/2016 6:35,ATA,TU 32AIMN,9,Common,0:45:00,,880
train_id_2035,6/7/2016,TU,TUN,ORY,6/7/2016 13:55,6/7/2016 16:20,ATA,TU 31BIMO,11,Common,2:25:00,,374
train_id_2039,6/7/2016,TU,ORY,TUN,6/7/2016 17:10,6/7/2016 19:40,ATA,TU 31BIMO,5,Common,2:30:00,,395
train_id_2044,6/8/2016,TU,TUN,ORY,6/8/2016 12:25,6/8/2016 14:45,ATA,TU 31BIMQ,4,Common,2:20:00,,515
train_id_2047,1/2/2016,TU,TUN,MRS,1/2/2016 13:15,1/2/2016 14:55,ATA,TU 320IMU,58,Medium,1:40:00,,850
train_id_2048,1/3/2016,TU,DJE,ORY,1/3/2016 14:00,1/3/2016 16:45,ATA,TU 736ION,20,Common,2:45:00,,902
train_id_2055,1/5/2016,TU,TUN,ORY,1/5/2016 11:35,1/5/2016 13:55,ATA,TU 32AIMI,11,Common,2:20:00,,789
train_id_2059,1/16/2016,TU,MIR,DJE,1/16/2016 12:40,1/16/2016 13:20,ATA,TU 31AIMJ,272,Severe,0:40:00,,9003
train_id_2060,1/16/2016,TU,TUN,ORY,1/16/2016 10:05,1/16/2016 12:20,ATA,TU 320IMS,19,Common,2:15:00,,727
train_id_2061,1/17/2016,TU,MRS,TUN,1/17/2016 16:35,1/17/2016 18:10,ATA,TU 31BIMQ,145,Severe,1:35:00,,718
train_id_2063,1/17/2016,TU,TUN,ORY,1/17/2016 10:05,1/17/2016 12:25,ATA,TU 32AIMC,10,Common,2:20:00,,753
train_id_2068,1/17/2016,TU,MRS,TUN,1/17/2016 10:20,1/17/2016 11:55,ATA,TU 320IMS,38,Medium,1:35:00,,209
train_id_2069,1/17/2016,TU,DJE,ORY,1/17/2016 13:35,1/17/2016 16:15,ATA,TU 32AIMD,10,Common,2:40:00,,931
train_id_2070,1/23/2016,TU,TUN,MRS,1/23/2016 13:15,1/23/2016 14:55,ATA,TU 736IOK,11,Common,1:40:00,,634
train_id_2072,1/24/2016,TU,MRS,DJE,1/24/2016 16:45,1/24/2016 18:45,ATA,TU 736IOQ,5,Common,2:00:00,,283
train_id_2074,1/24/2016,TU,MRS,TUN,1/24/2016 16:35,1/24/2016 18:10,ATA,TU 736IOP,25,Common,1:35:00,,607
